mean	se_mean	sd	2.5%	25%	50%	75%	97.5%	n_eff	Rhat
intercept[1]	3.8781740653752	0.00382458845765662	0.260116160772202	3.39241679777246	3.70062270550799	3.86885412390795	4.04770515684951	4.40513758378546	4625.56992529591	0.999440844771536
intercept[2]	3.53404385425079	0.00368731756817869	0.251741654552674	3.05691040314443	3.36146510756309	3.52843397892623	3.69858038658372	4.05015878507006	4661.10707107341	1.00066462727772
intercept[3]	3.63173332001997	0.00372180415312618	0.242431481655366	3.17450984739964	3.46894411998687	3.6225158411367	3.7855698947925	4.13610279580021	4242.98014162412	0.999848444235289
intercept[4]	3.83028022450139	0.00436063196015447	0.255941215053884	3.34846908021333	3.65047512415972	3.82746348080042	3.99621720902266	4.34713064644037	3444.93940879953	0.999923603477592
intercept[5]	2.17920056109855	0.00226611116313796	0.165349300211124	1.86402166536419	2.06319659364821	2.17680034416372	2.2921218368475	2.50651679625048	5324.05216589385	0.999797433646183
intercept[6]	3.57791548351564	0.0039941618460833	0.239202350427604	3.11959993695222	3.41594786319603	3.56847891184801	3.73586952478182	4.06197000276231	3586.57211785485	1.00057143064243
intercept[7]	2.79106786337517	0.00324597779537759	0.210315336746818	2.3874023063805	2.65012023074475	2.78678730106272	2.92862672944063	3.2108562925658	4198.08084876668	0.999574044546331
intercept[8]	4.1721268388241	0.00422937527623209	0.28991836203263	3.63367172348077	3.96822030183367	4.16285383022305	4.36614521021208	4.75424372218262	4698.93026969057	1.00018881770576
intercept[9]	3.6855782426091	0.00362598360411211	0.253477912671918	3.18864798784422	3.51012403012528	3.67963362984933	3.8595716581834	4.19507560935583	4886.84508978013	0.999349895244279
intercept[10]	3.37536691272601	0.00319322684412241	0.22573308892464	2.95859082475918	3.22003024318431	3.36776736309965	3.52504030020839	3.82957853631805	4997.24803504561	1.00001438402264
intercept[11]	3.41139537130309	0.00364638994927825	0.231094736526243	2.97145338301296	3.25433014789661	3.40857143978153	3.57016985635902	3.86447066481953	4016.55655519613	1.00043814656917
intercept[12]	3.41479015365184	0.00329744944217444	0.22936204692026	2.97727980634075	3.26370081265903	3.4077317047211	3.56746681715039	3.87933251328619	4838.23345958434	1.00054831129888
intercept[13]	3.31961729000826	0.00328800036278888	0.226569621383599	2.89022255505901	3.16156726507245	3.31397977919505	3.47225355101453	3.77278672112202	4748.31633628388	0.999246299463152
intercept[14]	2.9666853825463	0.00320198455485137	0.208151494176642	2.56365835898205	2.82406338056613	2.96623720235195	3.10295867334179	3.38619263997849	4225.91346866227	0.999383949064221
intercept[15]	3.20132372914734	0.00381227324300716	0.245917580866269	2.71411823678076	3.03771413250569	3.19686691403094	3.36531436378354	3.67417272295147	4161.12837094194	0.999796727896429
intercept[16]	3.14457543375379	0.00332239702520349	0.215325867243296	2.74622015246646	2.99796002751778	3.13974200910555	3.28878856114778	3.58053682347775	4200.38744413688	0.999878761315652
intercept[17]	3.05916021957397	0.00303505149539741	0.215344092219242	2.65850052532014	2.90577096966959	3.05129690334018	3.20119148397972	3.50157613249639	5034.23860049744	0.999330509088101
intercept[18]	3.06672237282108	0.00327014274607464	0.224898244452718	2.63930575956	2.90931998275587	3.06163784558743	3.21401144604085	3.51259332172184	4729.75570275443	0.999904913606956
intercept[19]	3.87295790372563	0.00413174943297948	0.273015020212817	3.34257963522673	3.68954979422987	3.868067033142	4.05434491347369	4.42403691382678	4366.21512167568	0.99941032547718
intercept[20]	2.37556101025337	0.00246109754969019	0.169070040596241	2.05173252234208	2.25733259700755	2.37234637130586	2.48823565539224	2.70690709298972	4719.27904974962	1.00016392035119
intercept[21]	3.30923418226698	0.00364639227738245	0.24586172463862	2.8426869006067	3.13987011563402	3.3048058345157	3.47416342252302	3.80496979793034	4546.26839552546	0.999668651411204
intercept[22]	2.8757138381368	0.00301189457692632	0.211089377690922	2.46658878372334	2.73680790092552	2.86860501918428	3.01648260514948	3.30061032840119	4911.94195544405	1.00000933244016
intercept[23]	2.98086471825239	0.00273183963171624	0.203162163183831	2.59059835417149	2.84403557425139	2.98232304301103	3.1155526750815	3.37843492040365	5530.63826824069	0.999321446828744
intercept[24]	3.88213646936281	0.00436722444695988	0.273989208211764	3.36794359975495	3.69212298746039	3.8764276337447	4.06677875713808	4.43239843026695	3936.00725099582	1.0000050281295
intercept[25]	3.43211563881428	0.00340138476419869	0.232218200100663	2.9903665169262	3.27165909059333	3.42624231909879	3.58835281993217	3.90144674890602	4661.02019944806	0.999951971532064
intercept[26]	3.66659199047745	0.00371753049953332	0.254097399383011	3.18221394447626	3.48839074824795	3.65863286780709	3.83580902399117	4.18470640228883	4671.87656522352	0.999512175113336
intercept[27]	2.87883039561965	0.00287433028412391	0.191524132715504	2.50435923944034	2.75025040023371	2.8752537693561	3.00774024429919	3.25741621040186	4439.90489541009	1.00109646454431
intercept[28]	2.80601062809717	0.00298572562100607	0.201281577808516	2.42140159838612	2.66568814752302	2.80900869860954	2.94099815866602	3.20432179084181	4544.73187683296	1.0006026354524
intercept[29]	3.05438823554135	0.00306752333540795	0.205600643135518	2.65297883182129	2.91651199204204	3.05506441583385	3.19370397744376	3.44982677744725	4492.34588706573	1.00091764867934
intercept[30]	3.45653469615672	0.00375985517576886	0.228866633047216	3.03730828760248	3.29892318783529	3.44811871708058	3.61129764388711	3.91274170252756	3705.29446300258	0.999322389913521
intercept[31]	3.31474401276514	0.00360466433836581	0.220530164376612	2.8902789144025	3.16236643435736	3.31208730467678	3.46136707902652	3.75319888977074	3742.88378235657	1.00081867229515
intercept[32]	3.04473328450914	0.00302231404704173	0.207546936650494	2.6504748490625	2.90163291746976	3.0439695418997	3.18321789111566	3.46487148711083	4715.77934608162	1.00022514591129
intercept[33]	3.31516489057056	0.00341628004124164	0.233684704827544	2.86487358619497	3.15732277678356	3.31119502854765	3.46695905557639	3.80556121091067	4679.00649656288	0.999433237045433
intercept[34]	2.71837205066495	0.00258754924591073	0.183683351344921	2.35287570734969	2.59650381091161	2.71825004523618	2.8431507975413	3.07629998953078	5039.20865460153	0.999570337651727
intercept[35]	3.02262466526062	0.00311413919066158	0.20480922923299	2.62378937837379	2.88412472349436	3.02030659363274	3.15979765610223	3.4339905660616	4325.36743576151	0.999717202452999
intercept[36]	2.65383087475251	0.00270526455842609	0.186470340503996	2.29665492575455	2.52605742659717	2.6533231664301	2.78184612598443	3.02898195133303	4751.16422298344	0.999477358525855
intercept[37]	2.78492627455862	0.00269610026637216	0.183455615429691	2.42383320097688	2.6623429597506	2.78689264133413	2.90484802986602	3.14350475889571	4630.09541399173	1.00062471339034
intercept[38]	2.60854416282793	0.00264416769314113	0.188799975007151	2.24497227846984	2.48054618374159	2.60508703505552	2.73206543944509	2.98516485535137	5098.30573475468	0.999387994264712
intercept[39]	4.10660236352421	0.00425373079265143	0.284018617329209	3.55829041382848	3.90475266548177	4.10281258984441	4.29782731249626	4.67329879072401	4458.13910590213	0.999556472257577
intercept[40]	3.2146096905364	0.00307197083933575	0.212843122117129	2.81316586727301	3.07162495929655	3.21434474321536	3.35307105889358	3.63171696120809	4800.48441338597	0.999794895628277
intercept[41]	4.16727083117678	0.00441777005095218	0.291573474396032	3.61721476036724	3.97158565416187	4.15867610025169	4.3588724147312	4.75594246834183	4356.01945245582	0.999557625726941
intercept[42]	2.77790714892347	0.00296407920619867	0.191031565015227	2.40184136880521	2.64456222344639	2.77488776847738	2.90577999677855	3.15002374656096	4153.65726110584	1.00019701797957
mu_int	3.19445100251696	0.00146651262393077	0.0657933805984631	3.06629873903259	3.149490764682	3.19439469310066	3.23945633266474	3.32205126955792	2012.76370394048	1.00036430382974
sigma_int	0.514659120087437	0.000749767235380091	0.0402674594143437	0.434031217777969	0.487789239436589	0.514315549345142	0.541244331137131	0.593926799051562	2884.40037501557	0.999642299986411
slope[1]	0.0896873129123233	0.000688372677662817	0.0509861526280158	-0.0182572391142929	0.0594887414061911	0.0935593503181195	0.12259143770416	0.18347455761755	5486.01808261895	0.999644533111098
slope[2]	0.129943069820792	0.0006877022165054	0.0499912053825094	0.0418670126096262	0.0971719736325014	0.12583600984696	0.157403667186478	0.243266092086368	5284.28665819847	0.999648402226007
slope[3]	0.123188417734276	0.000661365427692468	0.0481013187715858	0.0321355740565174	0.0922743880019821	0.120609383913474	0.150900046080571	0.229261777200948	5289.69935461441	0.999349096431565
slope[4]	0.131418428919021	0.000686876473108361	0.0500396580582237	0.0396925365877186	0.0984416638971465	0.127002578174157	0.161477507566103	0.24433424039624	5307.27246801735	1.00099663338272
slope[5]	0.105377887635875	0.000599392319376933	0.0453587997984282	0.0133007411873236	0.0773662986655429	0.104994810161529	0.134095090435209	0.198682531925052	5726.6515963683	0.99975782832285
slope[6]	0.114022203428083	0.000565565233499794	0.0458060127702527	0.0236094856296237	0.0863059875745481	0.113094503624052	0.141704844863039	0.211293719469835	6559.63342916444	0.999042369470398
slope[7]	0.108980313513543	0.000679220539643899	0.0488901945969696	0.0134083655454146	0.0791490115318912	0.108587584555696	0.138106948791789	0.208878730683692	5181.09923765173	0.999484715507121
slope[8]	0.10589655894433	0.00070974542025308	0.0475483098822151	0.00591606058022297	0.0769862553485435	0.107148625988276	0.134601176303189	0.201373616924693	4488.1252799226	0.999620144814118
slope[9]	0.115784025616491	0.000631939927764733	0.0484883442101296	0.0195696495493897	0.0860122840015839	0.116278342632458	0.145780451687161	0.213827546687654	5887.39419894929	0.999509776262517
slope[10]	0.116288988737862	0.000696766767597311	0.0489817729011358	0.0185516401626188	0.0866162955422288	0.114431342040706	0.144767176114057	0.218918699344606	4941.90216410888	0.999981609188238
slope[11]	0.116580915550629	0.000647627923304307	0.0471109631017511	0.0266104445097168	0.0872944851063903	0.114758620019485	0.144819910753691	0.214965884529437	5291.67099111782	0.999720812289451
slope[12]	0.105525157579092	0.000637849494719581	0.0481921227350203	0.00875968533849016	0.0755963129825662	0.105970132680742	0.134598989606171	0.204856286278755	5708.41686850061	0.999215011926767
slope[13]	0.105466004249024	0.00064209144792235	0.0477961622877312	0.00328312289111394	0.0760369354944281	0.106152049479402	0.134166725673721	0.201122272133373	5541.05273020752	0.999411838326337
slope[14]	0.104161922578781	0.000650202997400629	0.0477723398574897	0.00531569440801918	0.0755340605805693	0.106169598049391	0.13337039831738	0.198681983770714	5398.27608565772	0.999553989336483
slope[15]	0.108599568704148	0.000679951319973417	0.0484178078216996	0.0129836031430051	0.0788154182481244	0.108208061171192	0.137974838365068	0.204638564567708	5070.5445432825	0.999746829803705
slope[16]	0.0885314922461267	0.000705028154423837	0.0494641867993881	-0.0199812463307158	0.0582545625229454	0.0918851916450285	0.12144792584768	0.178707247488776	4922.30847002245	0.999753720203942
slope[17]	0.101142752988863	0.000627661013355779	0.0472525970590037	0.0024260399771142	0.0728848861149452	0.102033702203112	0.131212342642393	0.194045038361711	5667.62436163848	0.999287725207692
slope[18]	0.115425914395872	0.000644074088116583	0.0460446223454278	0.0238956177764384	0.0863578589705782	0.114753898666456	0.144599781761301	0.207361943082988	5110.76810623563	1.00003377371925
slope[19]	0.103667568497231	0.000648264168974797	0.0476130438392373	0.00822195792649311	0.0740266937335479	0.104490289793841	0.132811856484105	0.195969843364231	5394.45850535593	0.999447384743921
slope[20]	0.11026929427382	0.000682756782605127	0.0456554060361149	0.0198886472509014	0.0813842556526259	0.109710755464187	0.138368912835149	0.200831384986384	4471.49112088973	0.999611056131672
slope[21]	0.0935500917050863	0.000639181492860335	0.0477639864294577	-0.00637479626444022	0.0641157652445508	0.0960647062932017	0.123550745562778	0.186464051989438	5584.09436906188	0.999810385292124
slope[22]	0.0995975723516777	0.000623155568448949	0.0482074029930637	-0.00302595102301611	0.0695836567607449	0.102134674484926	0.130739298256273	0.191741285864044	5984.59150316415	0.999625375138983
slope[23]	0.0941999397526495	0.000670716592425334	0.0492648548177642	-0.0105670056570912	0.064883689124585	0.0970898951324151	0.125268455274164	0.189181681152895	5395.06043700678	0.999528265597228
slope[24]	0.131190581145518	0.00065337271287017	0.0486780080865324	0.0413189444615117	0.0985968313570253	0.127380992920585	0.159512281302727	0.23834531685327	5550.64703267661	0.999647452262066
