mean	se_mean	sd	2.5%	25%	50%	75%	97.5%	n_eff	Rhat
intercept[1]	3.87466126099182	0.0037462190930099	0.260892469392422	3.37490688656726	3.69498086226791	3.86905520404522	4.04300523644849	4.41227847673827	4849.94418941364	0.999378771846251
intercept[2]	3.54867857355059	0.00382327400380505	0.255058891396771	3.05636670567101	3.3738566070334	3.54723946847532	3.71621913851504	4.06486721264012	4450.51314097008	0.999361028476586
intercept[3]	3.6373494836778	0.00354300309009921	0.242474366942164	3.17250431274566	3.47126310472191	3.64163746321508	3.80195063577378	4.11525850737397	4683.69499766134	1.00009928234403
intercept[4]	3.83245205011616	0.00375549974203952	0.260252690383635	3.32158355910597	3.6573209329423	3.83016030827634	4.00374633259084	4.35067239802324	4802.36298042831	1.0013959273207
intercept[5]	2.17809100529457	0.00229716459449458	0.168014209749714	1.85206901003529	2.06435052437628	2.17348887993408	2.29061896025061	2.51178108483049	5349.43357516157	0.999671233111217
intercept[6]	3.59014136008129	0.00404259706916064	0.239824909332026	3.12082342027773	3.43299063454296	3.58529452097787	3.74238028066327	4.07290679684889	3519.39217669524	0.999772023221346
intercept[7]	2.79292908299559	0.0028497895515676	0.208407750745649	2.39227296951924	2.65370632267919	2.79001901142513	2.92920798446743	3.21262765229014	5348.13243689735	0.999478228508545
intercept[8]	4.16867174577943	0.00412982913718658	0.291475652066821	3.62689498726556	3.96839797133926	4.16573220731592	4.36383197587448	4.75106761158413	4981.2736081873	0.999506043921278
intercept[9]	3.69190307565692	0.00357572467255248	0.251754624872247	3.21009877167454	3.51778422484123	3.68842396403446	3.86286894941484	4.20143834889899	4957.08964418334	0.999392701327175
intercept[10]	3.37693370112742	0.00362947499115094	0.233375122469003	2.92852766304923	3.22083289502501	3.37549908535794	3.53192427233757	3.84299936199301	4134.48576720886	1.00093465800966
intercept[11]	3.41158185396632	0.00296522064250017	0.227846333762746	2.98184339215073	3.25630603093199	3.40230296945401	3.56466197402822	3.86538525064047	5904.32234951613	0.999565080651744
intercept[12]	3.41971197393351	0.00322835726191295	0.230212425334039	2.98921901836478	3.26099359533567	3.41674560323564	3.57100869968007	3.89142619949114	5085.0396288656	0.999438664130883
